Sexo;Total Nacional;Comunidades y Ciudades Autónomas;Consumo de tabaco;Total
Ambos sexos;Total;;TOTAL;100,00
Ambos sexos;Total;;Fumador diario;22,98
Ambos sexos;Total;;Fumador ocasional;2,37
Ambos sexos;Total;;Ex fumador;25,70
Ambos sexos;Total;;Nunca ha fumado;48,95
Ambos sexos;Total;Andalucía;TOTAL;100,00
Ambos sexos;Total;Andalucía;Fumador diario;24,37
Ambos sexos;Total;Andalucía;Fumador ocasional;3,05
Ambos sexos;Total;Andalucía;Ex fumador;24,43
Ambos sexos;Total;Andalucía;Nunca ha fumado;48,15
Ambos sexos;Total;Aragón;TOTAL;100,00
Ambos sexos;Total;Aragón;Fumador diario;23,93
Ambos sexos;Total;Aragón;Fumador ocasional;2,54
Ambos sexos;Total;Aragón;Ex fumador;27,85
Ambos sexos;Total;Aragón;Nunca ha fumado;45,67
Ambos sexos;Total;Asturias (Principado de);TOTAL;100,00
Ambos sexos;Total;Asturias (Principado de);Fumador diario;19,08
Ambos sexos;Total;Asturias (Principado de);Fumador ocasional;1,42
Ambos sexos;Total;Asturias (Principado de);Ex fumador;30,21
Ambos sexos;Total;Asturias (Principado de);Nunca ha fumado;49,30
Ambos sexos;Total;Balears (Illes);TOTAL;100,00
Ambos sexos;Total;Balears (Illes);Fumador diario;23,03
Ambos sexos;Total;Balears (Illes);Fumador ocasional;2,93
Ambos sexos;Total;Balears (Illes);Ex fumador;26,68
Ambos sexos;Total;Balears (Illes);Nunca ha fumado;47,35
Ambos sexos;Total;Canarias;TOTAL;100,00
Ambos sexos;Total;Canarias;Fumador diario;22,65
Ambos sexos;Total;Canarias;Fumador ocasional;2,16
Ambos sexos;Total;Canarias;Ex fumador;20,18
Ambos sexos;Total;Canarias;Nunca ha fumado;55,02
Ambos sexos;Total;Cantabria;TOTAL;100,00
Ambos sexos;Total;Cantabria;Fumador diario;21,40
Ambos sexos;Total;Cantabria;Fumador ocasional;2,65
Ambos sexos;Total;Cantabria;Ex fumador;22,34
Ambos sexos;Total;Cantabria;Nunca ha fumado;53,60
Ambos sexos;Total;Castilla y León;TOTAL;100,00
Ambos sexos;Total;Castilla y León;Fumador diario;21,60
Ambos sexos;Total;Castilla y León;Fumador ocasional;2,44
Ambos sexos;Total;Castilla y León;Ex fumador;26,75
Ambos sexos;Total;Castilla y León;Nunca ha fumado;49,21
Ambos sexos;Total;Castilla-La Mancha;TOTAL;100,00
Ambos sexos;Total;Castilla-La Mancha;Fumador diario;23,41
Ambos sexos;Total;Castilla-La Mancha;Fumador ocasional;1,44
Ambos sexos;Total;Castilla-La Mancha;Ex fumador;24,38
Ambos sexos;Total;Castilla-La Mancha;Nunca ha fumado;50,76
Ambos sexos;Total;Cataluña;TOTAL;100,00
Ambos sexos;Total;Cataluña;Fumador diario;23,65
Ambos sexos;Total;Cataluña;Fumador ocasional;2,11
Ambos sexos;Total;Cataluña;Ex fumador;27,09
Ambos sexos;Total;Cataluña;Nunca ha fumado;47,15
Ambos sexos;Total;Comunitat Valenciana;TOTAL;100,00
Ambos sexos;Total;Comunitat Valenciana;Fumador diario;21,96
Ambos sexos;Total;Comunitat Valenciana;Fumador ocasional;2,10
Ambos sexos;Total;Comunitat Valenciana;Ex fumador;28,25
Ambos sexos;Total;Comunitat Valenciana;Nunca ha fumado;47,69
Ambos sexos;Total;Extremadura;TOTAL;100,00
Ambos sexos;Total;Extremadura;Fumador diario;25,61
Ambos sexos;Total;Extremadura;Fumador ocasional;3,01
Ambos sexos;Total;Extremadura;Ex fumador;23,15
Ambos sexos;Total;Extremadura;Nunca ha fumado;48,23
Ambos sexos;Total;Galicia;TOTAL;100,00
Ambos sexos;Total;Galicia;Fumador diario;19,14
Ambos sexos;Total;Galicia;Fumador ocasional;1,57
Ambos sexos;Total;Galicia;Ex fumador;24,40
Ambos sexos;Total;Galicia;Nunca ha fumado;54,89
Ambos sexos;Total;Madrid (Comunidad de);TOTAL;100,00
Ambos sexos;Total;Madrid (Comunidad de);Fumador diario;23,21
Ambos sexos;Total;Madrid (Comunidad de);Fumador ocasional;2,14
Ambos sexos;Total;Madrid (Comunidad de);Ex fumador;26,89
Ambos sexos;Total;Madrid (Comunidad de);Nunca ha fumado;47,76
Ambos sexos;Total;Murcia (Región de);TOTAL;100,00
Ambos sexos;Total;Murcia (Región de);Fumador diario;25,56
Ambos sexos;Total;Murcia (Región de);Fumador ocasional;2,88
Ambos sexos;Total;Murcia (Región de);Ex fumador;21,60
Ambos sexos;Total;Murcia (Región de);Nunca ha fumado;49,96
Ambos sexos;Total;Navarra (Comunidad Foral de);TOTAL;100,00
Ambos sexos;Total;Navarra (Comunidad Foral de);Fumador diario;23,17
Ambos sexos;Total;Navarra (Comunidad Foral de);Fumador ocasional;2,99
Ambos sexos;Total;Navarra (Comunidad Foral de);Ex fumador;24,64
Ambos sexos;Total;Navarra (Comunidad Foral de);Nunca ha fumado;49,20
Ambos sexos;Total;País Vasco;TOTAL;100,00
Ambos sexos;Total;País Vasco;Fumador diario;22,75
Ambos sexos;Total;País Vasco;Fumador ocasional;2,81
Ambos sexos;Total;País Vasco;Ex fumador;25,64
