Sexo;Total Nacional;Comunidades y Ciudades Autónomas;Estado de salud;Total
Ambos sexos;Total;;Total;100,00
Ambos sexos;Total;;Muy bueno;19,17
Ambos sexos;Total;;Bueno;51,69
Ambos sexos;Total;;Regular;20,28
Ambos sexos;Total;;Malo;6,53
Ambos sexos;Total;;Muy malo;2,33
Ambos sexos;Total;Andalucía;Total;100,00
Ambos sexos;Total;Andalucía;Muy bueno;19,11
Ambos sexos;Total;Andalucía;Bueno;52,15
Ambos sexos;Total;Andalucía;Regular;20,16
Ambos sexos;Total;Andalucía;Malo;6,00
Ambos sexos;Total;Andalucía;Muy malo;2,58
Ambos sexos;Total;Aragón;Total;100,00
Ambos sexos;Total;Aragón;Muy bueno;21,74
Ambos sexos;Total;Aragón;Bueno;47,71
Ambos sexos;Total;Aragón;Regular;24,11
Ambos sexos;Total;Aragón;Malo;5,26
Ambos sexos;Total;Aragón;Muy malo;1,18
Ambos sexos;Total;Asturias (Principado de);Total;100,00
Ambos sexos;Total;Asturias (Principado de);Muy bueno;10,44
Ambos sexos;Total;Asturias (Principado de);Bueno;57,38
Ambos sexos;Total;Asturias (Principado de);Regular;22,04
Ambos sexos;Total;Asturias (Principado de);Malo;7,11
Ambos sexos;Total;Asturias (Principado de);Muy malo;3,04
Ambos sexos;Total;Balears (Illes);Total;100,00
Ambos sexos;Total;Balears (Illes);Muy bueno;14,14
Ambos sexos;Total;Balears (Illes);Bueno;63,37
Ambos sexos;Total;Balears (Illes);Regular;17,53
Ambos sexos;Total;Balears (Illes);Malo;3,90
Ambos sexos;Total;Balears (Illes);Muy malo;1,05
Ambos sexos;Total;Canarias;Total;100,00
Ambos sexos;Total;Canarias;Muy bueno;19,65
Ambos sexos;Total;Canarias;Bueno;49,61
Ambos sexos;Total;Canarias;Regular;21,25
Ambos sexos;Total;Canarias;Malo;7,52
Ambos sexos;Total;Canarias;Muy malo;1,96
Ambos sexos;Total;Cantabria;Total;100,00
Ambos sexos;Total;Cantabria;Muy bueno;28,96
Ambos sexos;Total;Cantabria;Bueno;43,18
Ambos sexos;Total;Cantabria;Regular;19,75
Ambos sexos;Total;Cantabria;Malo;6,68
Ambos sexos;Total;Cantabria;Muy malo;1,43
Ambos sexos;Total;Castilla y León;Total;100,00
Ambos sexos;Total;Castilla y León;Muy bueno;26,09
Ambos sexos;Total;Castilla y León;Bueno;46,29
Ambos sexos;Total;Castilla y León;Regular;19,41
Ambos sexos;Total;Castilla y León;Malo;7,43
Ambos sexos;Total;Castilla y León;Muy malo;0,78
Ambos sexos;Total;Castilla-La Mancha;Total;100,00
Ambos sexos;Total;Castilla-La Mancha;Muy bueno;17,50
Ambos sexos;Total;Castilla-La Mancha;Bueno;53,79
Ambos sexos;Total;Castilla-La Mancha;Regular;19,51
Ambos sexos;Total;Castilla-La Mancha;Malo;7,15
Ambos sexos;Total;Castilla-La Mancha;Muy malo;2,06
Ambos sexos;Total;Cataluña;Total;100,00
Ambos sexos;Total;Cataluña;Muy bueno;24,26
Ambos sexos;Total;Cataluña;Bueno;49,98
Ambos sexos;Total;Cataluña;Regular;17,62
Ambos sexos;Total;Cataluña;Malo;5,66
Ambos sexos;Total;Cataluña;Muy malo;2,49
Ambos sexos;Total;Comunitat Valenciana;Total;100,00
Ambos sexos;Total;Comunitat Valenciana;Muy bueno;16,81
Ambos sexos;Total;Comunitat Valenciana;Bueno;53,64
Ambos sexos;Total;Comunitat Valenciana;Regular;19,98
Ambos sexos;Total;Comunitat Valenciana;Malo;6,73
Ambos sexos;Total;Comunitat Valenciana;Muy malo;2,83
Ambos sexos;Total;Extremadura;Total;100,00
Ambos sexos;Total;Extremadura;Muy bueno;14,96
Ambos sexos;Total;Extremadura;Bueno;47,99
Ambos sexos;Total;Extremadura;Regular;25,70
Ambos sexos;Total;Extremadura;Malo;9,40
Ambos sexos;Total;Extremadura;Muy malo;1,95
Ambos sexos;Total;Galicia;Total;100,00
Ambos sexos;Total;Galicia;Muy bueno;10,99
Ambos sexos;Total;Galicia;Bueno;49,88
Ambos sexos;Total;Galicia;Regular;25,12
Ambos sexos;Total;Galicia;Malo;10,65
Ambos sexos;Total;Galicia;Muy malo;3,36
Ambos sexos;Total;Madrid (Comunidad de);Total;100,00
Ambos sexos;Total;Madrid (Comunidad de);Muy bueno;17,51
Ambos sexos;Total;Madrid (Comunidad de);Bueno;54,26
Ambos sexos;Total;Madrid (Comunidad de);Regular;20,95
Ambos sexos;Total;Madrid (Comunidad de);Malo;5,24
Ambos sexos;Total;Madrid (Comunidad de);Muy malo;2,04
Ambos sexos;Total;Murcia (Región de);Total;100,00
Ambos sexos;Total;Murcia (Región de);Muy bueno;22,25
Ambos sexos;Total;Murcia (Región de);Bueno;45,45
Ambos sexos;Total;Murcia (Región de);Regular;21,06
Ambos sexos;Total;Murcia (Región de);Malo;6,80
Ambos sexos;Total;Murcia (Región de);Muy malo;4,44
Ambos sexos;Total;Navarra (Comunidad Foral de);Total;100,00
Ambos sexos;Total;Navarra (Comunidad Foral de);Muy bueno;13,91
Ambos sexos;Total;Navarra (Comunidad Foral de);Bueno;62,72
Ambos sexos;Total;Navarra (Comunidad Foral de);Regular;16,57
Ambos sexos;Total;Navarra (Comunidad Foral de);Malo;6,11
Ambos sexos;Total;Navarra (Comunidad Foral de);Muy malo;0,69
Ambos sexos;Total;País Vasco;Total;100,00
Ambos sexos;Total;País Vasco;Muy bueno;19,93
Ambos sexos;Total;País Vasco;Bueno;50,95
Ambos sexos;Total;País Vasco;Regular;19,63
Ambos sexos;Total;País Vasco;Malo;7,20
Ambos sexos;Total;País Vasco;Muy malo;2,28
Ambos sexos;Total;Rioja (La);Total;100,00
Ambos sexos;Total;Rioja (La);Muy bueno;18,43
Ambos sexos;Total;Rioja (La);Bueno;56,94
Ambos sexos;Total;Rioja (La);Regular;17,34
Ambos sexos;Total;Rioja (La);Malo;5,84
Ambos sexos;Total;Rioja (La);Muy malo;1,45
Ambos sexos;Total;Ceuta (Ciudad Autónoma de);Total;100,00
Ambos sexos;Total;Ceuta (Ciudad Autónoma de);Muy bueno;40,14
Ambos sexos;Total;Ceuta (Ciudad Autónoma de);Bueno;36,30
Ambos sexos;Total;Ceuta (Ciudad Autónoma de);Regular;17,19
Ambos sexos;Total;Ceuta (Ciudad Autónoma de);Malo;3,52
Ambos sexos;Total;Ceuta (Ciudad Autónoma de);Muy malo;2,85
Ambos sexos;Total;Melilla (Ciudad Autónoma de);Total;100,00
Ambos sexos;Total;Melilla (Ciudad Autónoma de);Muy bueno;18,05
Ambos sexos;Total;Melilla (Ciudad Autónoma de);Bueno;59,49
Ambos sexos;Total;Melilla (Ciudad Autónoma de);Regular;16,94
Ambos sexos;Total;Melilla (Ciudad Autónoma de);Malo;4,65
Ambos sexos;Total;Melilla (Ciudad Autónoma de);Muy malo;0,87
